trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.75, 'e': 8.0000000000000007e-05}",20,0,7.80129583371037,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.75, 'e': 7.8423683952553682e-05}",20,0,-18.079186648055376,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
102,False,"{'a': 0.75, 'e': 7.6893502499038836e-05}",30,0,3.6393722611704447,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.75, 'e': 7.5407672730700348e-05}",20,0,-16.093635253177244,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.75, 'e': 7.3964497041420119e-05}",25,5,-7.644164008841421,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.75, 'e': 7.256235827664399e-05}",20,0,13.440264716364442,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.75, 'e': 7.1199715201139205e-05}",25,8,35.787345224628844,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.75, 'e': 6.9875098261856935e-05}",20,10,21.10769262999929,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.75, 'e': 6.8587105624142664e-05}",35,13,35.35198619638213,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.75, 'e': 6.7334399461324807e-05}",20,5,27.116335960509645,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.75, 'e': 6.6115702479338845e-05}",25,13,-19.21148822570555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.75, 'e': 6.4929794659524396e-05}",25,0,30.177880382295474,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.75, 'e': 6.3775510204081638e-05}",20,14,8.402700340502602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.75, 'e': 6.2651734669903682e-05}",25,17,14.846053674204047,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.75, 'e': 6.1557402277623885e-05}",20,2,28.28222449094405,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.75, 'e': 6.0491493383742913e-05}",20,9,10.085480541674013,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.75, 'e': 5.9453032104637337e-05}",20,0,24.22660702985325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.75, 'e': 5.8441084082109729e-05}",25,0,18.27352039725402,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
118,False,"{'a': 0.75, 'e': 5.7454754380925026e-05}",20,10,-19.475025446645734,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.75, 'e': 5.6493185509497923e-05}",25,20,8.037854990838854,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.75, 'e': 5.5555555555555558e-05}",20,0,4.7322638846021,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.75, 'e': 5.4641076429205657e-05}",20,7,24.35961756358975,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.75, 'e': 5.3748992206396133e-05}",20,8,18.79413647895859,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.75, 'e': 5.2878577566263469e-05}",25,20,10.180937474372326,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.75, 'e': 5.2029136316337151e-05}",20,12,10.10299571510873,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.75, 'e': 5.1200000000000004e-05}",25,15,6.378057005312256,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.75, 'e': 5.0390526581002771e-05}",25,11,-16.188151861426892,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.75, 'e': 4.9600099200198402e-05}",25,0,-9.341176731865906,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
128,False,"{'a': 0.75, 'e': 4.8828125000000003e-05}",30,18,21.088011932293373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.75, 'e': 4.8074034012379069e-05}",20,0,30.39034241113137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.75, 'e': 4.7337278106508875e-05}",20,6,-13.646739661387748,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.75, 'e': 4.6617329992424687e-05}",30,12,20.095272375420894,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.75, 'e': 4.5913682277318646e-05}",20,10,21.31811821104385,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.75, 'e': 4.5225846571315513e-05}",25,0,23.671804339529466,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.75, 'e': 4.4553352639786145e-05}",20,0,34.273676647363345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.75, 'e': 4.3895747599451304e-05}",25,15,16.621254168948614,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.75, 'e': 4.3252595155709348e-05}",25,18,10.159459649706818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.75, 'e': 4.2623474878789498e-05}",20,5,27.249010158426643,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.75, 'e': 4.2007981516488134e-05}",20,4,23.281331404006337,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.75, 'e': 4.14057243413902e-05}",20,0,14.532181830094716,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.75, 'e': 4.0816326530612245e-05}",20,15,10.710397469439004,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.75, 'e': 4.0239424576228564e-05}",25,14,6.192948544346767,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.75, 'e': 3.9674667724657806e-05}",20,15,7.350126000014392,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.75, 'e': 3.9121717443395769e-05}",20,10,18.08763962503976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.75, 'e': 3.8580246913580246e-05}",20,5,28.16521507062554,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.75, 'e': 3.8049940546967899e-05}",35,12,33.03163015269155,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.75, 'e': 3.7530493525989866e-05}",30,0,-3.0862209807830405,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.75, 'e': 3.7021611365634689e-05}",25,1,35.16291096982805,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.75, 'e': 3.6523009495982474e-05}",30,18,18.761257848032972,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.75, 'e': 3.6034412864285397e-05}",20,2,5.853639884824176,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.75, 'e': 3.555555555555556e-05}",20,0,29.915475471185385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.75, 'e': 3.5086180430682869e-05}",20,0,24.05090860973559,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.75, 'e': 3.4626038781163438e-05}",20,6,-34.39050083224655,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.75, 'e': 3.4174889999572814e-05}",30,0,35.52106724099155,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.75, 'e': 3.3732501264968798e-05}",20,0,32.299996312280214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.75, 'e': 3.3298647242455777e-05}",20,0,32.53727367374149,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.75, 'e': 3.2873109796186718e-05}",25,4,35.30803859744889,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.75, 'e': 3.245567771512029e-05}",20,0,33.02862311400169,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.75, 'e': 3.2046146450889282e-05}",25,11,18.764083473986947,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.75, 'e': 3.1644317867172976e-05}",20,7,-1.8046182121213987,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
